Date,Open,High,Low,Close,Volume,Adj Close
2014-02-05,174.78,175.56,173.71,175.17,164230500,171.05
2014-02-04,174.95,175.84,174.11,175.39,165012400,171.26
2014-02-03,177.97,178.37,173.83,174.17,254837100,170.07
2014-01-31,177.01,179.29,176.92,178.18,194677900,173.99
2014-01-30,178.83,179.81,178.26,179.23,118938100,175.01
2014-01-29,177.58,178.55,176.88,177.35,216597300,173.18
2014-01-28,178.14,179.30,178.12,179.07,110463200,174.86
2014-01-27,179.06,179.52,177.12,178.01,180843100,173.82
2014-01-24,181.60,181.66,178.83,178.89,208677100,174.68
2014-01-23,183.37,183.40,181.82,182.79,132496900,178.49
2014-01-22,184.49,184.57,183.91,184.30,61270900,179.96
2014-01-21,184.70,184.77,183.05,184.18,88621200,179.85
2014-01-17,184.10,184.45,183.32,183.64,107848700,179.32
2014-01-16,184.28,184.66,183.83,184.42,72290600,180.08
2014-01-15,184.10,184.94,183.71,184.66,98525800,180.32
2014-01-14,182.29,183.77,181.95,183.67,105016100,179.35
2014-01-13,183.67,184.18,181.34,181.69,149892000,177.42
2014-01-10,183.95,184.22,183.01,184.14,102026400,179.81
2014-01-09,184.11,184.13,182.80,183.64,90683400,179.32
2014-01-08,183.45,183.83,182.89,183.52,96582300,179.20
2014-01-07,183.09,183.79,182.95,183.48,86144200,179.16
2014-01-06,183.49,183.56,182.08,182.36,108028200,178.07
2014-01-03,183.23,183.60,182.63,182.89,81390600,178.59
2014-01-02,183.98,184.07,182.48,182.92,119636900,178.62
2013-12-31,184.07,184.69,183.93,184.69,86119900,180.35
2013-12-30,183.87,184.02,183.58,183.82,56857000,179.50
2013-12-27,184.10,184.18,183.66,183.85,61814000,179.53
2013-12-26,183.34,183.96,183.32,183.86,63365000,179.53
2013-12-24,182.54,183.01,182.53,182.93,45368800,178.63
2013-12-23,182.45,182.64,182.07,182.53,85598000,178.24
2013-12-20,180.69,181.99,180.57,181.56,197087000,177.29
2013-12-19,181.18,181.70,180.71,181.49,136531200,176.26
2013-12-18,178.92,181.73,177.32,181.70,234906000,176.47
2013-12-17,179.38,179.41,178.25,178.65,89886000,173.51
2013-12-16,178.95,179.81,178.90,179.22,96195000,174.06
2013-12-13,178.50,178.66,177.77,178.11,107808000,172.98
2013-12-12,178.64,178.86,177.76,178.13,115565000,173.00
2013-12-11,180.82,180.85,178.50,178.72,130591000,173.57
2013-12-10,180.98,181.36,180.64,180.75,80976000,175.54
2013-12-09,181.47,181.67,181.16,181.40,70124000,176.18
2013-12-06,180.67,181.11,180.15,180.94,127728000,175.73
2013-12-05,179.41,179.74,178.77,178.94,106934000,173.79
2013-12-04,179.10,180.48,178.35,179.73,123033000,174.55
